wl,reflectance
401,0.31302567214285676
402,0.313556109337099
403,0.3140865465313412
404,0.31461698372558344
405,0.3151474209198256
406,0.31567785811406784
407,0.31620829530831007
408,0.31666374955659154
409,0.3171187722483495
410,0.31757379494010746
411,0.3180288176318654
412,0.3184838403236234
413,0.3189388630153814
414,0.3193599194570543
415,0.31978058265704745
416,0.3202012458570407
417,0.32062190905703386
418,0.32104257225702704
419,0.32146323545702027
420,0.321985174487579
421,0.3225088825282787
422,0.3230325905689783
423,0.32355629860967794
424,0.3240800066503776
425,0.3245757929279625
426,0.3250709529739028
427,0.32556611301984306
428,0.3260612730657833
429,0.32655643311172355
430,0.3270515931576638
431,0.32753797022463443
432,0.32802409745699
433,0.32851022468934554
434,0.32899635192170107
435,0.32948247915405665
436,0.3299686063864122
437,0.3303753940977184
438,0.33077944191436576
439,0.33118348973101314
440,0.3315875375476605
441,0.3319915853643079
442,0.3323956331809553
443,0.3327852438746719
444,0.33317426705271586
445,0.3335632902307598
446,0.3339523134088038
447,0.3343413365868478
448,0.33473035976489174
449,0.3351166304973645
450,0.3355027720586522
451,0.3358889136199399
452,0.3362750551812276
453,0.33666119674251527
454,0.33704733830380296
455,0.3374188213521177
456,0.3377895239873862
457,0.3381602266226547
458,0.3385309292579232
459,0.3389016318931917
460,0.33927233452846023
461,0.3395565087982561
462,0.3398355237213488
463,0.3401145386444414
464,0.34039355356753404
465,0.34067256849062666
466,0.3409515834137193
467,0.34124803138879434
468,0.34154563152287176
469,0.3418432316569492
470,0.3421408317910266
471,0.34243843192510404
472,0.34273603205918146
473,0.3429978185423897
474,0.34325700372717155
475,0.3435161889119534
476,0.3437753740967353
477,0.3440345592815172
478,0.34429374446629907
479,0.3445345826953878
480,0.34477396676535305
481,0.3450133508353183
482,0.34525273490528363
483,0.3454921189752489
484,0.3457315030452142
485,0.34607755503123927
486,0.34643277681222345
487,0.3467879985932076
488,0.3471432203741917
489,0.3474984421551759
490,0.34782866987208566
491,0.3481566076591271
492,0.3484845454461685
493,0.34881248323320996
494,0.3491404210202514
495,0.3494683588072928
496,0.3497825920193666
497,0.350095475592837
498,0.35040835916630736
499,0.35072124273977773
500,0.3510341263132481
501,0.35134700988671846
502,0.35166147447284035
503,0.35197610574453436
504,0.3522907370162284
505,0.3526053682879223
506,0.35291999955961634
507,0.35323463083131035
508,0.35361456884223014
509,0.35400185169597004
510,0.35438913454970994
511,0.3547764174034498
512,0.3551637002571897
513,0.3555509831109296
514,0.35595017155474634
515,0.3563507838384869
516,0.35675139612222745
517,0.357152008405968
518,0.35755262068970856
519,0.3579532329734491
520,0.3583862371586242
521,0.35882334907552343
522,0.3592604609924226
523,0.3596975729093218
524,0.360134684826221
525,0.3605717967431202
526,0.36108421251529443
527,0.36160672853414694
528,0.3621292445529994
529,0.3626517605718519
530,0.3631742765907044
531,0.36369679260955695
532,0.36420833430480865
533,0.36471832274794486
534,0.36522831119108107
535,0.3657382996342172
536,0.36624828807735343
537,0.36675827652048965
538,0.3672393650935063
539,0.3677161463982092
540,0.3681929277029121
541,0.36866970900761503
542,0.36914649031231794
543,0.36962327161702085
544,0.37012625077652234
545,0.37063333373677554
546,0.37114041669702874
547,0.37164749965728194
