wl,spn0.1
699,0.935554137
700,0.935469122
701,0.935381439
702,0.93529065
703,0.935196319
704,0.935098012
705,0.934995291
706,0.934887721
707,0.934774865
708,0.934656289
709,0.934531555
710,0.934400229
711,0.934261873
712,0.934116052
713,0.933962331
714,0.933800272
715,0.933629441
716,0.933449401
717,0.933259716
718,0.933059951
719,0.932849668
720,0.932628434
721,0.93239581
722,0.932147816
723,0.931881413
724,0.931597581
725,0.931297302
726,0.930981555
727,0.930651321
728,0.930307582
729,0.929951317
730,0.929583507
731,0.929205133
732,0.928817174
733,0.928420613
734,0.928016429
735,0.927605602
736,0.927189114
737,0.926767946
738,0.926343076
739,0.925915487
740,0.925486158
741,0.925056071
742,0.924626206
743,0.924197543
744,0.923771062
745,0.923347746
746,0.922928573
747,0.922514525
748,0.922106583
749,0.921705726
750,0.921312936
751,0.920929192
752,0.920555476
753,0.920192768
754,0.919842049
755,0.919493821
756,0.919138238
757,0.918775749
758,0.918406806
759,0.918031861
760,0.917651366
761,0.917265771
762,0.916875529
763,0.91648109
764,0.916082907
765,0.91568143
766,0.915277111
767,0.914870402
768,0.914461755
769,0.91405162
770,0.913640449
771,0.913228694
772,0.912816806
773,0.912405237
774,0.911994437
775,0.91158486
776,0.911176955
777,0.910771175
778,0.910367971
779,0.909967795
780,0.909571098
781,0.909178331
782,0.908789946
783,0.908406395
784,0.908028129
785,0.907655599
786,0.907289257
787,0.906929555
788,0.906576944
789,0.906237302
790,0.905915344
791,0.905609774
792,0.905319297
793,0.905042617
794,0.90477844
795,0.90452547
796,0.904282411
797,0.904047969
798,0.903820847
799,0.903599751
800,0.903383385
801,0.903170454
802,0.902959662
803,0.902749714
804,0.902539315
805,0.902327169
806,0.902111981
807,0.901892456
808,0.901667298
809,0.901435213
810,0.901194903
811,0.900945075
812,0.900684433
813,0.900411682
814,0.900125526
815,0.899824669
816,0.899507817
817,0.899173675
818,0.898820946
819,0.898448335
820,0.898054548
821,0.897638288
822,0.89720966
823,0.896779507
824,0.896347643
825,0.89591388
826,0.895478033
827,0.895039914
828,0.894599338
829,0.894156118
830,0.893710066
831,0.893260998
832,0.892808725
833,0.892353062
834,0.891893822
835,0.891430818
836,0.890963865
837,0.890492774
838,0.890017361
839,0.889537437
840,0.889052818
841,0.888563315
842,0.888068743
843,0.887568915
844,0.887063645
845,0.886552746
846,0.886036031
847,0.885513314
848,0.884984408
849,0.884449127
850,0.883907285
851,0.883358694
852,0.882803168
853,0.882240521
854,0.881670566
855,0.881093117
856,0.880505356
857,0.879904937
858,0.879292376
859,0.878668192
860,0.8780329
861,0.87738702
862,0.876731067
863,0.876065559
864,0.875391014
865,0.874707949
866,0.87401688
867,0.873318326
868,0.872612803
869,0.871900829
870,0.871182921
871,0.870459596
872,0.869731373
873,0.868998767
874,0.868262296
875,0.867522478
876,0.866779829
877,0.866034868
878,0.865288111
879,0.864540076
880,0.863791279
881,0.863042239
882,0.862293472
883,0.861545496
884,0.860798828
885,0.860053985
886,0.859311485
887,0.858571845
888,0.857835582
889,0.857107247
890,0.856390294
891,0.855683592
892,0.854986012
893,0.854296423
894,0.853613695
895,0.8529367
896,0.852264306
897,0.851595383
898,0.850928803
899,0.850263434
900,0.849598147
901,0.848931812
902,0.848263299
903,0.847591478
904,0.846915219
905,0.846233392
906,0.845544867
907,0.844848514
908,0.844143204
909,0.843427806
910,0.84270119
911,0.841962227
912,0.841209786
913,0.840442737
914,0.839659951
915,0.838860298
916,0.838042647
917,0.837205869
918,0.836348833
919,0.83547041
920,0.83456947
921,0.833644883
922,0.832695519
923,0.831726877
924,0.830745444
925,0.829751576
926,0.828745627
927,0.827727952
928,0.826698904
929,0.825658839
930,0.824608111
931,0.823547075
932,0.822476084
933,0.821395494
934,0.820305659
935,0.819206934
936,0.818099672
937,0.816984229
938,0.815860959
939,0.814730217
940,0.813592356
941,0.812447732
942,0.8112967
943,0.810139612
944,0.808976825
945,0.807808692
946,0.806635568
947,0.805457808
948,0.804275766
949,0.803089796
950,0.801900253
951,0.800707492
952,0.799511867
953,0.798313732
954,0.797113443
955,0.795911353
956,0.794707816
957,0.793465007
958,0.792148127
959,0.790762076
960,0.789311752
961,0.787802054
962,0.786237881
963,0.784624132
964,0.782965707
965,0.781267504
966,0.779534422
967,0.77777136
968,0.775983217
969,0.774174893
970,0.772351285
971,0.770517294
972,0.768677818
973,0.766837756
974,0.765002006
975,0.763175469
976,0.761363043
977,0.759569627
978,0.75780012
979,0.75605942
980,0.754352428
981,0.752684042
982,0.75105916
983,0.749482682
984,0.747959508
985,0.746494535
986,0.745092662
987,0.74375879
988,0.742497816
989,0.741314641
990,0.740214162
991,0.739144656
992,0.738053033
993,0.73694214
994,0.735814826
995,0.734673938
996,0.733522324
997,0.732362832
998,0.73119831
999,0.730031606
1000,0.728865568
1001,0.727703043
1002,0.726546879
1003,0.725399925
1004,0.724265028
1005,0.723145036
1006,0.722042797
1007,0.720961158
1008,0.719902969
1009,0.718871076
1010,0.717868328
1011,0.716897572
1012,0.715961656
1013,0.715063428
1014,0.714205737
1015,0.713391429
1016,0.712623353
1017,0.711904357
1018,0.711237288
1019,0.710624995
1020,0.710070325
1021,0.709576126
1022,0.709145247
1023,0.708780534
1024,0.708495333
1025,0.708298145
1026,0.70818455
1027,0.708150133
1028,0.708190473
1029,0.708301154
1030,0.708477757
1031,0.708715864
1032,0.709011057
1033,0.709358919
1034,0.70975503
1035,0.710194973
1036,0.710674331
1037,0.711188684
1038,0.711733615
1039,0.712304705
1040,0.712897538
1041,0.713507694
1042,0.714130756
1043,0.714762305
1044,0.715397924
1045,0.716033194
1046,0.716663698
1047,0.717285017
1048,0.717892734
1049,0.718482429
1050,0.719049686
1051,0.719590087
1052,0.720099212
1053,0.720572645
1054,0.721005966
1055,0.721394759
1056,0.721734604
1057,0.722021085
1058,0.722333126
1059,0.722747871
1060,0.723258224
1061,0.723857094
1062,0.724537385
1063,0.725292004
1064,0.726113858
1065,0.726995851
1066,0.727930892
1067,0.728911885
1068,0.729931738
1069,0.730983356
1070,0.732059645
1071,0.733153512
1072,0.734257864
1073,0.735365605
1074,0.736469643
1075,0.737562884
1076,0.738638234
1077,0.739688599
1078,0.740706885
1079,0.741685999
1080,0.742618847
1081,0.743498335
1082,0.744317369
1083,0.745068855
1084,0.745745701
1085,0.746340811
1086,0.746847092
1087,0.747257451
1088,0.747564794
1089,0.747762026
1090,0.747842055
1091,0.747863969
1092,0.747890235
1093,0.747918828
1094,0.747947719
1095,0.747974881
1096,0.747998288
1097,0.748015912
1098,0.748025727
1099,0.748025705
1100,0.748013819
1101,0.747988043
1102,0.747946348
1103,0.747886709
1104,0.747807098
1105,0.747705488
1106,0.747579852
1107,0.747428163
1108,0.747248394
1109,0.747038518
1110,0.746796507
1111,0.746520335
1112,0.746207975
1113,0.7458574
1114,0.745466582
1115,0.745033495
1116,0.744556111
1117,0.744032404
1118,0.743460346
1119,0.742837911
1120,0.742163071
1121,0.741433799
1122,0.740648069
1123,0.739803852
1124,0.738899123
1125,0.73791718
1126,0.736845541
1127,0.735688503
1128,0.734450367
1129,0.733135432
1130,0.731747996
1131,0.730292359
1132,0.728772819
1133,0.727193676
1134,0.725559229
1135,0.723873777
1136,0.722141618
1137,0.720367053
1138,0.71855438
1139,0.716707898
1140,0.714831906
1141,0.712930704
1142,0.71100859
1143,0.709069863
1144,0.707118823
1145,0.705159769
1146,0.703197
1147,0.701234814
1148,0.699277511
1149,0.69732939
1150,0.69539475
1151,0.69347789
1152,0.691583109
1153,0.689714707
1154,0.687876982
1155,0.686074233
1156,0.68431076
1157,0.682590861
1158,0.680846656
1159,0.679011161
1160,0.677090021
1161,0.67508888
1162,0.673013382
1163,0.670869172
1164,0.668661895
1165,0.666397195
1166,0.664080716
1167,0.661718102
1168,0.659314999
1169,0.656877051
1170,0.654409902
1171,0.651919197
1172,0.64941058
1173,0.646889695
1174,0.644362188
1175,0.641833702
1176,0.639309882
1177,0.636796373
1178,0.634298818
1179,0.631822863
1180,0.629374151
1181,0.626958328
1182,0.624581038
1183,0.622247925
1184,0.619964634
1185,0.617736808
1186,0.615570094
1187,0.613470134
1188,0.611442574
1189,0.609493058
1190,0.607627231
1191,0.605850736
1192,0.604106484
1193,0.602335573
1194,0.600540928
1195,0.598725478
1196,0.59689215
1197,0.595043869
1198,0.593183564
1199,0.591314161
1200,0.589438588
1201,0.58755977
1202,0.585680636
1203,0.583804112
1204,0.581933125
1205,0.580070603
1206,0.578219471
1207,0.576382657
1208,0.574563089
1209,0.572763692
1210,0.570987395
1211,0.569237123
1212,0.567515805
1213,0.565826366
1214,0.564171734
1215,0.562554837
1216,0.5609786
1217,0.559445951
1218,0.557959816
1219,0.556523124
1220,0.5551388
1221,0.553809772
1222,0.552538967
1223,0.551329312
1224,0.550183733
1225,0.549096249
1226,0.548057756
1227,0.547066501
